State,Unit Code,Unit Name,Unit Type, Visitors ,Year
FL,FOCA,Fort Caroline National Memorial,National Memorial," 51,900 ",1963
AZ,CHIR,Chiricahua National Monument,National Monument," 51,800 ",1963
TN,ANJO,Andrew Johnson National Historic Site,National Historic Site," 48,100 ",1963
MO,GWCA,George Washington Carver National Monument,National Monument," 46,600 ",1963
NM,AZRU,Aztec Ruins National Monument,National Monument," 45,100 ",1963
AL,RUCA,Russell Cave National Monument,National Monument," 44,900 ",1963
AR,PERI,Pea Ridge National Military Park,National Military Park," 44,700 ",1963
SD,JECA,Jewel Cave National Monument,National Monument," 44,000 ",1963
NM,CAVO,Capulin Volcano National Monument,National Monument," 42,800 ",1963
OH,HOCU,Hopewell Culture National Historical Park,National Historical Park," 41,400 ",1963
NM,CHCU,Chaco Culture National Historical Park,National Historical Park," 38,800 ",1963
AZ,TUZI,Tuzigoot National Monument,National Monument," 38,600 ",1963
TN,STRI,Stones River National Battlefield,National Battlefield," 33,100 ",1963
NJ,EDIS,Thomas Edison National Historical Park,National Historic Site," 32,600 ",1963
NV,GRBA,Great Basin National Park,National Park," 32,500 ",1963
MI,GRPO,Grand Portage National Monument,National Monument," 32,400 ",1963
AZ,CACH,Canyon de Chelly National Monument,National Monument," 30,000 ",1963
AL,HOBE,Horseshoe Bend National Military Park,National Military Park," 29,800 ",1963
AZ,CORO,Coronado National Memorial,National Memorial," 28,300 ",1963
NE,HOME,Homestead National Monument of America,National Monument," 27,600 ",1963
NC,MOCR,Moores Creek National Battlefield,National Battlefield," 27,100 ",1963
FL,DRTO,Dry Tortugas National Park,National Park," 26,200 ",1963
AZ,PISP,Pipe Spring National Monument,National Monument," 24,900 ",1963
AK,SITK,Sitka National Historical Park,National Historical Park," 18,800 ",1963
AK,DENA,Denali National Park,National Park," 18,400 ",1963
AK,DENA,Denali National Preserve,National Park," 18,400 ",1963
SC,COWP,Cowpens National Battlefield,National Battlefield," 17,300 ",1963
NM,ELMO,El Morro National Monument,National Monument," 16,300 ",1963
MT,BIHO,Big Hole National Battlefield,National Battlefield," 15,200 ",1963
VA,BOWA,Booker T. Washington National Monument,National Monument," 14,700 ",1963
MD,HAMP,Hampton National Historic Site,National Historic Site," 14,100 ",1963
MA,ADAM,Adams National Historical Park,National Historical Park," 12,800 ",1963
NM,FOUN,Fort Union National Monument,National Monument," 12,500 ",1963
UT,NABR,Natural Bridges National Monument,National Monument," 11,600 ",1963
NM,GICL,Gila Cliff Dwellings National Monument,National Monument," 9,800 ",1963
VI,BUIS,Buck Island Reef National Monument,National Monument," 9,400 ",1963
NM,SAPU,Salinas Pueblo Missions National Monument,National Monument," 9,400 ",1963
AZ,NAVA,Navajo National Monument,National Monument," 7,900 ",1963
MI,ISRO,Isle Royale National Park,National Park," 7,800 ",1963
VI,CHRI,Christiansted National Historic Site,National Historic Site," 6,100 ",1963
UT,HOVE,Hovenweep National Monument,National Monument," 5,300 ",1963
MS,BRCR,Brices Cross Roads National Battlefield Site,National Battlefield Site," 2,600 ",1963
CA,CHIS,Channel Islands National Park,National Park," 1,200 ",1963
MS,TUPE,Tupelo National Battlefield,National Battlefield, 800 ,1963
AK,GLBA,Glacier Bay National Park,National Park, 800 ,1963
AK,GLBA,Glacier Bay National Preserve,National Preserve, 800 ,1963
AK,KATM,Katmai National Park,National Park, 700 ,1963
AK,KATM,Katmai National Preserve,National Preserve, 700 ,1963
NC,BLRI,Blue Ridge Parkway,Parkway," 6,507,300 ",1962
VA,COLO,Colonial National Historical Park,National Historical Park," 5,792,000 ",1962
MS,NATR,Natchez Trace Parkway,Parkway," 5,328,000 ",1962
NC,GRSM,Great Smoky Mountains National Park,National Park," 5,209,800 ",1962
NV,LAKE,Lake Mead National Recreation Area,National Recreation Area," 2,688,700 ",1962
DC,LINC,Lincoln Memorial,National Memorial," 2,672,300 ",1962
PA,INDE,Independence National Historical Park,National Historical Park," 2,142,600 ",1962
VA,SHEN,Shenandoah National Park,National Park," 2,049,400 ",1962
WA,OLYM,Olympic National Park,National Park," 2,044,400 ",1962
WY,YELL,Yellowstone National Park,National Park," 1,925,200 ",1962
WA,MORA,Mount Rainier National Park,National Park," 1,905,300 ",1962
PA,GETT,Gettysburg National Military Park,National Military Park," 1,893,300 ",1962
AR,HOSP,Hot Springs National Park,National Park," 1,874,000 ",1962
WY,GRTE,Grand Teton National Park,National Park," 1,799,400 ",1962
CO,ROMO,Rocky Mountain National Park,National Park," 1,773,800 ",1962
DC,WAMO,Washington Monument,National Memorial," 1,758,300 ",1962
ME,ACAD,Acadia National Park,National Park," 1,601,500 ",1962
DC,WHHO,White House,Other Designation," 1,561,700 ",1962
CA,YOSE,Yosemite National Park,National Park," 1,505,500 ",1962
AZ,GRCA,Grand Canyon National Park,National Park," 1,447,400 ",1962
DC,JEFM,Thomas Jefferson Memorial,National Memorial," 1,251,300 ",1962
SD,MORU,Mount Rushmore National Memorial,National Memorial," 1,209,400 ",1962
GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park," 1,068,000 ",1962
SD,BADL,Badlands National Park,National Park," 1,044,800 ",1962
MT,GLAC,Glacier National Park,National Park," 966,100 ",1962
LA,VICK,Vicksburg National Military Park,National Military Park," 933,700 ",1962
CA,CABR,Cabrillo National Monument,National Monument," 933,100 ",1962
NY,STLI,Statue Of Liberty National Monument,National Monument," 863,800 ",1962
VA,PETE,Petersburg National Battlefield,National Battlefield," 848,400 ",1962
CA,KICA,Kings Canyon National Park,National Park," 826,100 ",1962
SD,WICA,Wind Cave National Park,National Park," 818,600 ",1962
MS,SHIL,Shiloh National Battlefield,National Battlefield," 803,200 ",1962
AZ,PEFO,Petrified Forest National Park,National Park," 705,000 ",1962
WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area," 689,900 ",1962
CA,SEQU,Sequoia National Park,National Park," 687,400 ",1962
WV,HAFE,Harpers Ferry National Historical Park,National Historical Park," 658,000 ",1962
NC,CAHA,Cape Hatteras National Seashore,National Seashore," 649,300 ",1962
FL,EVER,Everglades National Park,National Park," 626,100 ",1962
UT,ZION,Zion National Park,National Park," 622,100 ",1962
OR,CRLA,Crater Lake National Park,National Park," 592,400 ",1962
TN,FODO,Fort Donelson National Battlefield,National Battlefield," 590,800 ",1962
KY,MACA,Mammoth Cave National Park,National Park," 569,300 ",1962
NM,CAVE,Carlsbad Caverns National Park,National Park," 556,000 ",1962
CA,MUWO,Muir Woods National Monument,National Monument," 532,800 ",1962
VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park," 522,300 ",1962
MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument," 495,800 ",1962
NC,GUCO,Guilford Courthouse National Military Park,National Military Park," 459,200 ",1962
NJ,MORR,Morristown National Historical Park,National Historical Park," 449,600 ",1962
VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial," 446,500 ",1962
DC,FOTH,Ford's Theatre National Historic Site,National Historic Site," 425,400 ",1962
HI,HAVO,Hawai'i Volcanoes National Park,National Park," 421,600 ",1962
FL,CASA,Castillo de San Marcos National Monument,National Monument," 416,600 ",1962
CA,LAVO,Lassen Volcanic National Park,National Park," 399,000 ",1962
LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve," 378,100 ",1962
NM,WHSA,White Sands National Monument,National Monument," 371,200 ",1962
CA,DEVA,Death Valley National Park,National Park," 363,400 ",1962
CA,JOTR,Joshua Tree National Park,National Park," 331,500 ",1962
CO,COLM,Colorado National Monument,National Monument," 317,400 ",1962
KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park," 315,800 ",1962
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument," 294,100 ",1962
SC,KIMO,Kings Mountain National Military Park,National Military Park," 287,800 ",1962
NY,GEGR,General Grant National Memorial,National Memorial," 278,100 ",1962
CO,MEVE,Mesa Verde National Park,National Park," 262,200 ",1962
CO,DINO,Dinosaur National Monument,National Monument," 260,400 ",1962
UT,BRCA,Bryce Canyon National Park,National Park," 251,000 ",1962
ND,THRO,Theodore Roosevelt National Park,National Park," 245,700 ",1962
VA,RICH,Richmond National Battlefield Park,National Battlefield Park," 240,100 ",1962
NY,HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site," 233,200 ",1962
NC,WRBR,Wright Brothers National Memorial,National Memorial," 223,600 ",1962
AZ,MOCA,Montezuma Castle National Monument,National Monument," 221,300 ",1962
VA,MANA,Manassas National Battlefield Park,National Battlefield Park," 201,600 ",1962
WA,SAJH,San Juan Island National Historical Park,National Historical Park," 197,200 ",1962
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument," 179,700 ",1962
GA,KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park," 178,200 ",1962
VA,PRWI,Prince William Forest Park,Park," 177,700 ",1962
MD,ANTI,Antietam National Battlefield,National Battlefield," 176,000 ",1962
MD,CATO,Catoctin Mountain Park,Other Designation," 167,000 ",1962
PA,FONE,Fort Necessity National Battlefield,National Battlefield," 166,000 ",1962
UT,CARE,Capitol Reef National Park,National Park," 163,500 ",1962
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site," 163,300 ",1962
GA,FOPU,Fort Pulaski National Monument,National Monument," 161,600 ",1962
ID,CRMO,Craters of the Moon National Monument,National Monument," 160,800 ",1962
MN,PIPE,Pipestone National Monument,National Monument," 157,300 ",1962
VA,APCO,Appomattox Court House National Historical Park,National Historical Park," 152,200 ",1962
KY,CUGA,Cumberland Gap National Historical Park,National Historical Park," 151,900 ",1962
AZ,SAGU,Saguaro National Park,National Park," 146,300 ",1962
GA,FOFR,Fort Frederica National Monument,National Monument," 140,700 ",1962
UT,TICA,Timpanogos Cave National Monument,National Monument," 133,500 ",1962
CO,BLCA,Black Canyon of the Gunnison National Park,National Park," 131,800 ",1962
OR,ORCA,Oregon Caves National Monument and Preserve,National Monument," 129,100 ",1962
VA,GEWA,George Washington Birthplace National Monument,National Monument," 126,000 ",1962
WY,DETO,Devils Tower National Monument,National Monument," 124,900 ",1962
PA,HOFU,Hopewell Furnace National Historic Site,National Historic Site," 114,200 ",1962
AZ,SUCR,Sunset Crater Volcano National Monument,National Monument," 112,000 ",1962
NC,FORA,Fort Raleigh National Historic Site,National Historic Site," 110,600 ",1962
MA,SAMA,Salem Maritime National Historic Site,National Historic Site," 106,900 ",1962
UT,ARCH,Arches National Park,National Park," 105,700 ",1962
NM,BAND,Bandelier National Monument,National Monument," 97,200 ",1962
NE,SCBL,Scotts Bluff National Monument,National Monument," 96,300 ",1962
MO,JEFF,Jefferson National Expansion Memorial,National Memorial," 94,100 ",1962
CO,GRSA,Great Sand Dunes National Park,National Park," 92,800 ",1962
CO,GRSA,Great Sand Dunes National Preserve,National Preserve," 92,800 ",1962
UT,CEBR,Cedar Breaks National Monument,National Monument," 92,300 ",1962
TX,BIBE,Big Bend National Park,National Park," 91,000 ",1962
DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park," 85,400 ",1962
AZ,CAGR,Casa Grande Ruins National Monument,National Monument," 83,900 ",1962
CA,PINN,Pinnacles National Park,National Park," 81,500 ",1962
NY,SARA,Saratoga National Historical Park,National Historical Park," 80,200 ",1962
AZ,WACA,Walnut Canyon National Monument,National Monument," 76,500 ",1962
FL,DESO,De Soto National Memorial,National Memorial," 72,800 ",1962
FL,FOMA,Fort Matanzas National Monument,National Monument," 72,400 ",1962
AZ,WUPA,Wupatki National Monument,National Monument," 71,700 ",1962
HI,HALE,Haleakala National Park,National Park," 71,200 ",1962
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park," 70,500 ",1962
OH,PEVI,Perry's Victory and International Peace Memorial,National Memorial," 69,600 ",1962
CA,LABE,Lava Beds National Monument,National Monument," 69,200 ",1962
GA,OCMU,Ocmulgee National Monument,National Monument," 67,400 ",1962
WY,FOLA,Fort Laramie National Historic Site,National Historic Site," 63,600 ",1962
CA,DEPO,Devils Postpile National Monument,National Monument," 63,200 ",1962
SC,FOSU,Fort Sumter National Monument,National Monument," 60,300 ",1962
NY,FEHA,Federal Hall National Memorial,National Memorial," 60,300 ",1962
AZ,TONT,Tonto National Monument,National Monument," 56,200 ",1962
VI,VIIS,Virgin Islands National Park,National Park," 55,400 ",1962
AZ,TUMA,Tumacacori National Historical Park,National Historical Park," 55,200 ",1962
WA,WHMI,Whitman Mission National Historic Site,National Historic Site," 55,200 ",1962
IA,EFMO,Effigy Mounds National Monument,National Monument," 54,100 ",1962
MD,FOWA,Fort Washington Park,Other Designation," 51,700 ",1962
AZ,CHIR,Chiricahua National Monument,National Monument," 51,700 ",1962
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site," 51,400 ",1962
TN,ANJO,Andrew Johnson National Historic Site,National Historic Site," 48,900 ",1962
TN,STRI,Stones River National Battlefield,National Battlefield," 46,700 ",1962
FL,FOCA,Fort Caroline National Memorial,National Memorial," 46,100 ",1962
NM,AZRU,Aztec Ruins National Monument,National Monument," 41,400 ",1962
SD,JECA,Jewel Cave National Monument,National Monument," 41,200 ",1962
NE,HOME,Homestead National Monument of America,National Monument," 40,500 ",1962
NM,CAVO,Capulin Volcano National Monument,National Monument," 40,300 ",1962
AR,PERI,Pea Ridge National Military Park,National Military Park," 36,600 ",1962
MO,GWCA,George Washington Carver National Monument,National Monument," 35,500 ",1962
AZ,TUZI,Tuzigoot National Monument,National Monument," 34,600 ",1962
NJ,EDIS,Thomas Edison National Historical Park,National Historic Site," 33,600 ",1962
MI,GRPO,Grand Portage National Monument,National Monument," 32,200 ",1962
OH,HOCU,Hopewell Culture National Historical Park,National Historical Park," 30,700 ",1962
NV,GRBA,Great Basin National Park,National Park," 27,300 ",1962
NC,MOCR,Moores Creek National Battlefield,National Battlefield," 25,700 ",1962
AZ,CACH,Canyon de Chelly National Monument,National Monument," 25,400 ",1962
AZ,CORO,Coronado National Memorial,National Memorial," 24,800 ",1962
NM,ELMO,El Morro National Monument,National Monument," 22,000 ",1962
NM,CHCU,Chaco Culture National Historical Park,National Historical Park," 21,600 ",1962
AZ,PISP,Pipe Spring National Monument,National Monument," 18,300 ",1962
AK,DENA,Denali National Park,National Park," 16,600 ",1962
AK,DENA,Denali National Preserve,National Park," 16,600 ",1962
MD,HAMP,Hampton National Historic Site,National Historic Site," 14,500 ",1962
AL,HOBE,Horseshoe Bend National Military Park,National Military Park," 14,000 ",1962
MT,BIHO,Big Hole National Battlefield,National Battlefield," 13,800 ",1962
AK,SITK,Sitka National Historical Park,National Historical Park," 13,600 ",1962
MA,ADAM,Adams National Historical Park,National Historical Park," 13,300 ",1962
VA,BOWA,Booker T. Washington National Monument,National Monument," 12,600 ",1962
NM,FOUN,Fort Union National Monument,National Monument," 11,800 ",1962
UT,NABR,Natural Bridges National Monument,National Monument," 10,100 ",1962
SC,COWP,Cowpens National Battlefield,National Battlefield," 9,600 ",1962
NM,SAPU,Salinas Pueblo Missions National Monument,National Monument," 9,500 ",1962
AL,RUCA,Russell Cave National Monument,National Monument," 9,200 ",1962
FL,DRTO,Dry Tortugas National Park,National Park," 7,700 ",1962
VI,BUIS,Buck Island Reef National Monument,National Monument," 6,600 ",1962
MI,ISRO,Isle Royale National Park,National Park," 5,400 ",1962
AZ,NAVA,Navajo National Monument,National Monument," 4,500 ",1962
VI,CHRI,Christiansted National Historic Site,National Historic Site," 4,400 ",1962
UT,HOVE,Hovenweep National Monument,National Monument," 4,000 ",1962
NM,GICL,Gila Cliff Dwellings National Monument,National Monument," 3,100 ",1962
MS,BRCR,Brices Cross Roads National Battlefield Site,National Battlefield Site," 2,000 ",1962
AK,GLBA,Glacier Bay National Park,National Park," 1,100 ",1962
AK,GLBA,Glacier Bay National Preserve,National Preserve," 1,100 ",1962
MS,TUPE,Tupelo National Battlefield,National Battlefield, 800 ,1962
AK,KATM,Katmai National Park,National Park, 300 ,1962
AK,KATM,Katmai National Preserve,National Preserve, 300 ,1962
NC,BLRI,Blue Ridge Parkway,Parkway," 6,047,600 ",1961
VA,COLO,Colonial National Historical Park,National Historical Park," 5,763,000 ",1961
NC,GRSM,Great Smoky Mountains National Park,National Park," 4,762,100 ",1961
MS,NATR,Natchez Trace Parkway,Parkway," 3,685,300 ",1961
DC,LINC,Lincoln Memorial,National Memorial," 2,890,000 ",1961
NV,LAKE,Lake Mead National Recreation Area,National Recreation Area," 2,220,000 ",1961
VA,SHEN,Shenandoah National Park,National Park," 1,929,300 ",1961
PA,INDE,Independence National Historical Park,National Historical Park," 1,723,900 ",1961
PA,GETT,Gettysburg National Military Park,National Military Park," 1,698,200 ",1961
WA,MORA,Mount Rainier National Park,National Park," 1,592,800 ",1961
DC,WAMO,Washington Monument,National Memorial," 1,592,300 ",1961
ME,ACAD,Acadia National Park,National Park," 1,574,600 ",1961
CO,ROMO,Rocky Mountain National Park,National Park," 1,538,000 ",1961
WY,YELL,Yellowstone National Park,National Park," 1,524,100 ",1961
WA,OLYM,Olympic National Park,National Park," 1,519,500 ",1961
WY,GRTE,Grand Teton National Park,National Park," 1,492,400 ",1961
DC,WHHO,White House,Other Designation," 1,322,300 ",1961
AZ,GRCA,Grand Canyon National Park,National Park," 1,253,000 ",1961
CA,YOSE,Yosemite National Park,National Park," 1,227,100 ",1961
CA,CABR,Cabrillo National Monument,National Monument," 1,063,700 ",1961
GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park," 1,046,400 ",1961
SD,MORU,Mount Rushmore National Memorial,National Memorial," 1,030,400 ",1961
LA,VICK,Vicksburg National Military Park,National Military Park," 954,800 ",1961
MS,SHIL,Shiloh National Battlefield,National Battlefield," 927,400 ",1961
AR,HOSP,Hot Springs National Park,National Park," 891,300 ",1961
SD,BADL,Badlands National Park,National Park," 833,300 ",1961
DC,JEFM,Thomas Jefferson Memorial,National Memorial," 811,500 ",1961
VA,PETE,Petersburg National Battlefield,National Battlefield," 798,900 ",1961
HI,HAVO,Hawai'i Volcanoes National Park,National Park," 769,600 ",1961
NY,STLI,Statue Of Liberty National Monument,National Monument," 763,500 ",1961
CA,KICA,Kings Canyon National Park,National Park," 748,600 ",1961
WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area," 740,700 ",1961
MT,GLAC,Glacier National Park,National Park," 740,000 ",1961
SD,WICA,Wind Cave National Park,National Park," 700,200 ",1961
AZ,PEFO,Petrified Forest National Park,National Park," 671,000 ",1961
WV,HAFE,Harpers Ferry National Historical Park,National Historical Park," 612,900 ",1961
CA,SEQU,Sequoia National Park,National Park," 610,200 ",1961
UT,ZION,Zion National Park,National Park," 604,700 ",1961
NM,CAVE,Carlsbad Caverns National Park,National Park," 590,000 ",1961
FL,EVER,Everglades National Park,National Park," 566,800 ",1961
NC,CAHA,Cape Hatteras National Seashore,National Seashore," 547,300 ",1961
TN,FODO,Fort Donelson National Battlefield,National Battlefield," 534,300 ",1961
CA,MUWO,Muir Woods National Monument,National Monument," 524,300 ",1961
KY,MACA,Mammoth Cave National Park,National Park," 519,300 ",1961
MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument," 468,200 ",1961
CA,LAVO,Lassen Volcanic National Park,National Park," 460,000 ",1961
VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park," 458,500 ",1961
NC,GUCO,Guilford Courthouse National Military Park,National Military Park," 452,300 ",1961
LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve," 417,600 ",1961
OR,CRLA,Crater Lake National Park,National Park," 415,600 ",1961
DC,FOTH,Ford's Theatre National Historic Site,National Historic Site," 405,300 ",1961
CA,DEVA,Death Valley National Park,National Park," 397,900 ",1961
FL,CASA,Castillo de San Marcos National Monument,National Monument," 385,600 ",1961
NM,WHSA,White Sands National Monument,National Monument," 380,800 ",1961
VA,MANA,Manassas National Battlefield Park,National Battlefield Park," 369,600 ",1961
NJ,MORR,Morristown National Historical Park,National Historical Park," 353,500 ",1961
VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial," 321,900 ",1961
NY,GEGR,General Grant National Memorial,National Memorial," 307,100 ",1961
CA,JOTR,Joshua Tree National Park,National Park," 301,500 ",1961
KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park," 297,500 ",1961
UT,BRCA,Bryce Canyon National Park,National Park," 264,800 ",1961
SC,KIMO,Kings Mountain National Military Park,National Military Park," 259,200 ",1961
NC,WRBR,Wright Brothers National Memorial,National Memorial," 257,100 ",1961
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument," 252,100 ",1961
CO,COLM,Colorado National Monument,National Monument," 243,500 ",1961
ND,THRO,Theodore Roosevelt National Park,National Park," 235,600 ",1961
NY,HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site," 229,900 ",1961
CO,MEVE,Mesa Verde National Park,National Park," 227,700 ",1961
VA,RICH,Richmond National Battlefield Park,National Battlefield Park," 225,300 ",1961
AZ,MOCA,Montezuma Castle National Monument,National Monument," 208,800 ",1961
GA,KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park," 199,200 ",1961
WA,SAJH,San Juan Island National Historical Park,National Historical Park," 188,400 ",1961
VA,PRWI,Prince William Forest Park,Park," 176,000 ",1961
CO,DINO,Dinosaur National Monument,National Monument," 167,100 ",1961
MN,PIPE,Pipestone National Monument,National Monument," 164,400 ",1961
PA,FONE,Fort Necessity National Battlefield,National Battlefield," 156,800 ",1961
VA,APCO,Appomattox Court House National Historical Park,National Historical Park," 156,400 ",1961
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument," 150,300 ",1961
GA,FOFR,Fort Frederica National Monument,National Monument," 146,900 ",1961
AZ,SAGU,Saguaro National Park,National Park," 145,100 ",1961
KY,CUGA,Cumberland Gap National Historical Park,National Historical Park," 144,100 ",1961
MD,CATO,Catoctin Mountain Park,Other Designation," 143,000 ",1961
UT,CARE,Capitol Reef National Park,National Park," 136,800 ",1961
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site," 132,900 ",1961
MD,ANTI,Antietam National Battlefield,National Battlefield," 125,400 ",1961
ID,CRMO,Craters of the Moon National Monument,National Monument," 123,500 ",1961
GA,FOPU,Fort Pulaski National Monument,National Monument," 123,200 ",1961
UT,TICA,Timpanogos Cave National Monument,National Monument," 117,900 ",1961
UT,CEBR,Cedar Breaks National Monument,National Monument," 116,600 ",1961
CO,BLCA,Black Canyon of the Gunnison National Park,National Park," 115,000 ",1961
PA,HOFU,Hopewell Furnace National Historic Site,National Historic Site," 114,300 ",1961
WY,DETO,Devils Tower National Monument,National Monument," 114,200 ",1961
OR,ORCA,Oregon Caves National Monument and Preserve,National Monument," 102,900 ",1961
NC,FORA,Fort Raleigh National Historic Site,National Historic Site," 102,800 ",1961
AZ,SUCR,Sunset Crater Volcano National Monument,National Monument," 97,600 ",1961
VA,GEWA,George Washington Birthplace National Monument,National Monument," 95,500 ",1961
NE,SCBL,Scotts Bluff National Monument,National Monument," 92,300 ",1961
UT,ARCH,Arches National Park,National Park," 90,700 ",1961
TX,BIBE,Big Bend National Park,National Park," 90,600 ",1961
NM,BAND,Bandelier National Monument,National Monument," 90,500 ",1961
GA,OCMU,Ocmulgee National Monument,National Monument," 88,300 ",1961
AZ,CAGR,Casa Grande Ruins National Monument,National Monument," 87,500 ",1961
CA,PINN,Pinnacles National Park,National Park," 76,900 ",1961
AZ,WACA,Walnut Canyon National Monument,National Monument," 73,800 ",1961
FL,DESO,De Soto National Memorial,National Memorial," 71,800 ",1961
FL,FOMA,Fort Matanzas National Monument,National Monument," 69,200 ",1961
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park," 69,000 ",1961
IA,EFMO,Effigy Mounds National Monument,National Monument," 67,500 ",1961
CA,LABE,Lava Beds National Monument,National Monument," 67,300 ",1961
HI,HALE,Haleakala National Park,National Park," 65,800 ",1961
SC,FOSU,Fort Sumter National Monument,National Monument," 65,500 ",1961
AZ,WUPA,Wupatki National Monument,National Monument," 65,200 ",1961
MO,JEFF,Jefferson National Expansion Memorial,National Memorial," 63,600 ",1961
NY,SARA,Saratoga National Historical Park,National Historical Park," 63,300 ",1961
OH,PEVI,Perry's Victory and International Peace Memorial,National Memorial," 61,700 ",1961
CO,GRSA,Great Sand Dunes National Park,National Park," 61,100 ",1961
CO,GRSA,Great Sand Dunes National Preserve,National Preserve," 61,100 ",1961
MA,SAMA,Salem Maritime National Historic Site,National Historic Site," 58,900 ",1961
AR,PERI,Pea Ridge National Military Park,National Military Park," 57,200 ",1961
AZ,TUMA,Tumacacori National Historical Park,National Historical Park," 56,300 ",1961
NY,FEHA,Federal Hall National Memorial,National Memorial," 55,200 ",1961
DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park," 54,900 ",1961
AZ,TONT,Tonto National Monument,National Monument," 53,600 ",1961
WY,FOLA,Fort Laramie National Historic Site,National Historic Site," 49,900 ",1961
CA,DEPO,Devils Postpile National Monument,National Monument," 48,500 ",1961
TN,ANJO,Andrew Johnson National Historic Site,National Historic Site," 47,800 ",1961
WA,WHMI,Whitman Mission National Historic Site,National Historic Site," 47,600 ",1961
TN,STRI,Stones River National Battlefield,National Battlefield," 46,500 ",1961
AZ,CHIR,Chiricahua National Monument,National Monument," 43,400 ",1961
NM,AZRU,Aztec Ruins National Monument,National Monument," 42,100 ",1961
FL,FOCA,Fort Caroline National Memorial,National Memorial," 41,500 ",1961
NM,CAVO,Capulin Volcano National Monument,National Monument," 41,100 ",1961
MO,GWCA,George Washington Carver National Monument,National Monument," 34,900 ",1961
AZ,TUZI,Tuzigoot National Monument,National Monument," 34,100 ",1961
OH,HOCU,Hopewell Culture National Historical Park,National Historical Park," 31,800 ",1961
SD,JECA,Jewel Cave National Monument,National Monument," 31,400 ",1961
VI,VIIS,Virgin Islands National Park,National Park," 30,600 ",1961
NJ,EDIS,Thomas Edison National Historical Park,National Historic Site," 28,500 ",1961
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site," 28,300 ",1961
MI,GRPO,Grand Portage National Monument,National Monument," 27,600 ",1961
AZ,CACH,Canyon de Chelly National Monument,National Monument," 26,500 ",1961
NV,GRBA,Great Basin National Park,National Park," 24,300 ",1961
NE,HOME,Homestead National Monument of America,National Monument," 22,100 ",1961
NM,CHCU,Chaco Culture National Historical Park,National Historical Park," 22,100 ",1961
NC,MOCR,Moores Creek National Battlefield,National Battlefield," 20,600 ",1961
NM,ELMO,El Morro National Monument,National Monument," 19,600 ",1961
AK,DENA,Denali National Park,National Park," 18,300 ",1961
AK,DENA,Denali National Preserve,National Park," 18,300 ",1961
AZ,CORO,Coronado National Memorial,National Memorial," 18,200 ",1961
MD,FOWA,Fort Washington Park,Other Designation," 16,600 ",1961
AL,HOBE,Horseshoe Bend National Military Park,National Military Park," 15,600 ",1961
AK,SITK,Sitka National Historical Park,National Historical Park," 15,600 ",1961
FL,DRTO,Dry Tortugas National Park,National Park," 14,400 ",1961
MD,HAMP,Hampton National Historic Site,National Historic Site," 12,300 ",1961
MA,ADAM,Adams National Historical Park,National Historical Park," 11,600 ",1961
AZ,PISP,Pipe Spring National Monument,National Monument," 11,500 ",1961
NM,FOUN,Fort Union National Monument,National Monument," 10,600 ",1961
NM,SAPU,Salinas Pueblo Missions National Monument,National Monument," 10,600 ",1961
MT,BIHO,Big Hole National Battlefield,National Battlefield," 9,600 ",1961
SC,COWP,Cowpens National Battlefield,National Battlefield," 8,800 ",1961
VA,BOWA,Booker T. Washington National Monument,National Monument," 8,500 ",1961
UT,NABR,Natural Bridges National Monument,National Monument," 7,700 ",1961
MI,ISRO,Isle Royale National Park,National Park," 6,500 ",1961
AZ,NAVA,Navajo National Monument,National Monument," 3,900 ",1961
UT,HOVE,Hovenweep National Monument,National Monument," 3,300 ",1961
