State,Unit Code,Unit Name,Unit Type, Visitors ,Year
MI,KEWE,Keweenaw National Historical Park,National Historical Park," 14,612 ",2016
ME,SACR,Saint Croix Island International Historic Site,International Historic Site," 13,857 ",2016
OH,FILA,First Ladies National Historic Site,National Historic Site," 13,378 ",2016
ND,KNRI,Knife River Indian Villages National Historic Site,National Historic Site," 13,328 ",2016
OK,WABA,Washita Battlefield National Historic Site,National Historic Site," 12,312 ",2016
NM,FOUN,Fort Union National Monument,National Monument," 11,953 ",2016
MA,SAIR,Saugus Iron Works National Historic Site,National Historic Site," 11,159 ",2016
MD,THST,Thomas Stone National Historic Site,National Historic Site," 10,652 ",2016
AR,WICL,President William Jefferson Clinton Birthplace Home National Historic Site,National Historic Site," 10,468 ",2016
OH,CHYO,Charles Young Buffalo Soldiers National Monument,National Monument," 10,211 ",2016
AK,GAAR,Gates of the Arctic National Park,National Park," 10,047 ",2016
AK,GAAR,Gates of the Arctic National Preserve,National Preserve," 10,047 ",2016
VA,MAWA,Maggie L. Walker National Historic Site,National Historic Site," 9,589 ",2016
